Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.002300,0.000000,0
Solver,0.102100,2.080108,212379
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.000200,0.000000,0
Matvec,0.000000,0.000000,27296
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.005700,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.018000,0.000000,0
Netcdf I/O,0.000000,0.000000,0
PDI I/O,0.000000,0.000000,0
MGSemi,0.000100,651.420000,65142
PCG,0.000100,776.390000,77639
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.005000,14.808000,74040
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.002300,14.782609,34000
Geometries,0.009800,0.000000,0
SubsrfSim,0.000000,0.000000,0
Porosity,0.000000,0.000000,0
Chemistry Initialization,0.064000,0.003125,200
Chemistry Solver,0.015000,0.066667,1000
Total Runtime,0.106000,-nan,0
