Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.002300,0.000000,0
Solver,0.127900,1.726966,220879
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.000200,0.000000,0
Matvec,0.000100,272.960000,27296
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.008800,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.018300,0.000000,0
Netcdf I/O,0.000000,0.000000,0
PDI I/O,0.000000,0.000000,0
MGSemi,0.000200,325.710000,65142
PCG,0.000200,388.195000,77639
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.005000,14.808000,74040
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.002900,14.655172,42500
Geometries,0.009900,0.000000,0
SubsrfSim,0.000000,0.000000,0
Porosity,0.000000,0.000000,0
Chemistry Initialization,0.061800,0.003236,200
Chemistry Solver,0.041600,0.024038,1000
Total Runtime,0.131300,-nan,0
