Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.005100,0.000000,0
Solver,0.111800,1.747576,195379
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.000300,0.000000,0
Matvec,0.000000,0.000000,27296
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.002300,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.018600,0.000000,0
Netcdf I/O,0.000000,0.000000,0
PDI I/O,0.000000,0.000000,0
MGSemi,0.000200,325.710000,65142
PCG,0.000200,388.195000,77639
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.005300,13.969811,74040
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.002200,7.727273,17000
Geometries,0.009800,0.000000,0
SubsrfSim,0.000000,0.000000,0
Porosity,0.000000,0.000000,0
Chemistry Initialization,0.079600,0.002513,200
Chemistry Solver,0.007700,0.129870,1000
Total Runtime,0.119700,-nan,0
