Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.006100,0.000000,0
Solver,0.143300,1.422742,203879
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.000300,0.000000,0
Matvec,0.000000,0.000000,27296
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.012700,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.022100,0.000000,0
Netcdf I/O,0.000000,0.000000,0
PDI I/O,0.000000,0.000000,0
MGSemi,0.000200,325.710000,65142
PCG,0.000300,258.796667,77639
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.005400,13.711111,74040
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.001900,13.421053,25500
Geometries,0.013200,0.000000,0
SubsrfSim,0.000100,0.000000,0
Porosity,0.000000,0.000000,0
Chemistry Initialization,0.086800,0.002304,200
Chemistry Solver,0.028300,0.035336,1000
Total Runtime,0.151600,-nan,0
