Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.002600,0.000000,0
Solver,0.111600,1.638701,182879
Richards Exclude 1st Time Step,0.000000,0.000000,0
Solver Cleanup,0.000200,0.000000,0
Matvec,0.000000,0.000000,27296
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.001700,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.020500,0.000000,0
Netcdf I/O,0.000000,0.000000,0
PDI I/O,0.000000,0.000000,0
MGSemi,0.000300,217.140000,65142
PCG,0.000300,258.796667,77639
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.005600,13.221429,74040
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.001200,6.250000,7500
Geometries,0.011100,0.000000,0
SubsrfSim,0.000000,0.000000,0
Porosity,0.000000,0.000000,0
Chemistry Initialization,0.081500,0.002454,200
Chemistry Solver,0.005400,0.185185,1000
Total Runtime,0.115000,-nan,0
